,IMAGE PATH,IMAGE NAME,LABEL,GENDER,MAPPED LABELS
3646,../data/NistFormatted/s1647_02.png,s1647_02.png,A,F,0
657,../data/NistFormatted/f0658_09.png,f0658_09.png,W,F,4
2923,../data/NistFormatted/s0924_09.png,s0924_09.png,L,M,1
184,../data/NistFormatted/f0185_05.png,f0185_05.png,R,M,2
1807,../data/NistFormatted/f1808_06.png,f1808_06.png,A,M,0
1610,../data/NistFormatted/f1611_07.png,f1611_07.png,T,M,3
3785,../data/NistFormatted/s1786_05.png,s1786_05.png,W,M,4
3271,../data/NistFormatted/s1272_01.png,s1272_01.png,A,F,0
262,../data/NistFormatted/f0263_05.png,f0263_05.png,R,M,2
3581,../data/NistFormatted/s1582_05.png,s1582_05.png,R,M,2
1866,../data/NistFormatted/f1867_07.png,f1867_07.png,L,M,1
318,../data/NistFormatted/f0319_06.png,f0319_06.png,L,M,1
781,../data/NistFormatted/f0782_10.png,f0782_10.png,L,M,1
2795,../data/NistFormatted/s0796_08.png,s0796_08.png,T,F,3
903,../data/NistFormatted/f0904_07.png,f0904_07.png,W,M,4
961,../data/NistFormatted/f0962_06.png,f0962_06.png,L,M,1
3291,../data/NistFormatted/s1292_07.png,s1292_07.png,R,F,2
2236,../data/NistFormatted/s0237_07.png,s0237_07.png,A,M,0
2234,../data/NistFormatted/s0235_01.png,s0235_01.png,R,M,2
2382,../data/NistFormatted/s0383_04.png,s0383_04.png,A,M,0
3499,../data/NistFormatted/s1500_07.png,s1500_07.png,A,M,0
3437,../data/NistFormatted/s1438_09.png,s1438_09.png,W,M,4
1512,../data/NistFormatted/f1513_06.png,f1513_06.png,T,F,3
2388,../data/NistFormatted/s0389_07.png,s0389_07.png,T,M,3
2759,../data/NistFormatted/s0760_06.png,s0760_06.png,T,M,3
2073,../data/NistFormatted/s0074_02.png,s0074_02.png,W,M,4
2566,../data/NistFormatted/s0567_06.png,s0567_06.png,A,M,0
2405,../data/NistFormatted/s0406_04.png,s0406_04.png,T,M,3
260,../data/NistFormatted/f0261_01.png,f0261_01.png,R,M,2
1541,../data/NistFormatted/f1542_06.png,f1542_06.png,W,M,4
2671,../data/NistFormatted/s0672_10.png,s0672_10.png,A,M,0
3175,../data/NistFormatted/s1176_08.png,s1176_08.png,A,M,0
2872,../data/NistFormatted/s0873_05.png,s0873_05.png,R,M,2
827,../data/NistFormatted/f0828_07.png,f0828_07.png,W,M,4
3762,../data/NistFormatted/s1763_10.png,s1763_10.png,A,F,0
3978,../data/NistFormatted/s1979_03.png,s1979_03.png,A,F,0
3377,../data/NistFormatted/s1378_08.png,s1378_08.png,L,M,1
2125,../data/NistFormatted/s0126_10.png,s0126_10.png,T,M,3
2511,../data/NistFormatted/s0512_03.png,s0512_03.png,W,M,4
3466,../data/NistFormatted/s1467_09.png,s1467_09.png,W,M,4
1963,../data/NistFormatted/f1964_10.png,f1964_10.png,W,F,4
2192,../data/NistFormatted/s0193_01.png,s0193_01.png,R,F,2
1222,../data/NistFormatted/f1223_07.png,f1223_07.png,T,M,3
2241,../data/NistFormatted/s0242_10.png,s0242_10.png,W,M,4
3774,../data/NistFormatted/s1775_10.png,s1775_10.png,W,M,4
729,../data/NistFormatted/f0730_05.png,f0730_05.png,A,M,0
2531,../data/NistFormatted/s0532_02.png,s0532_02.png,A,F,0
3021,../data/NistFormatted/s1022_03.png,s1022_03.png,W,M,4
1943,../data/NistFormatted/f1944_07.png,f1944_07.png,A,M,0
1775,../data/NistFormatted/f1776_09.png,f1776_09.png,W,M,4
1631,../data/NistFormatted/f1632_08.png,f1632_08.png,L,M,1
3673,../data/NistFormatted/s1674_02.png,s1674_02.png,T,M,3
1566,../data/NistFormatted/f1567_04.png,f1567_04.png,W,M,4
77,../data/NistFormatted/f0078_03.png,f0078_03.png,R,M,2
1924,../data/NistFormatted/f1925_03.png,f1925_03.png,A,M,0
1472,../data/NistFormatted/f1473_08.png,f1473_08.png,A,F,0
3648,../data/NistFormatted/s1649_05.png,s1649_05.png,R,M,2
3265,../data/NistFormatted/s1266_08.png,s1266_08.png,L,M,1
3345,../data/NistFormatted/s1346_05.png,s1346_05.png,R,M,2
3835,../data/NistFormatted/s1836_02.png,s1836_02.png,T,F,3
398,../data/NistFormatted/f0399_02.png,f0399_02.png,R,M,2
2856,../data/NistFormatted/s0857_09.png,s0857_09.png,W,F,4
645,../data/NistFormatted/f0646_09.png,f0646_09.png,L,F,1
1005,../data/NistFormatted/f1006_03.png,f1006_03.png,A,F,0
3844,../data/NistFormatted/s1845_08.png,s1845_08.png,L,F,1
941,../data/NistFormatted/f0942_08.png,f0942_08.png,L,M,1
2410,../data/NistFormatted/s0411_05.png,s0411_05.png,W,M,4
2791,../data/NistFormatted/s0792_02.png,s0792_02.png,T,M,3
919,../data/NistFormatted/f0920_05.png,f0920_05.png,W,M,4
1039,../data/NistFormatted/f1040_01.png,f1040_01.png,W,M,4
2853,../data/NistFormatted/s0854_02.png,s0854_02.png,L,M,1
1099,../data/NistFormatted/f1100_09.png,f1100_09.png,L,M,1
206,../data/NistFormatted/f0207_05.png,f0207_05.png,R,M,2
1982,../data/NistFormatted/f1983_03.png,f1983_03.png,R,M,2
3033,../data/NistFormatted/s1034_08.png,s1034_08.png,W,M,4
1533,../data/NistFormatted/f1534_05.png,f1534_05.png,A,F,0
963,../data/NistFormatted/f0964_03.png,f0964_03.png,T,M,3
1192,../data/NistFormatted/f1193_05.png,f1193_05.png,R,M,2
2026,../data/NistFormatted/s0027_08.png,s0027_08.png,A,M,0
843,../data/NistFormatted/f0844_03.png,f0844_03.png,T,F,3
3470,../data/NistFormatted/s1471_01.png,s1471_01.png,W,M,4
3898,../data/NistFormatted/s1899_06.png,s1899_06.png,L,F,1
2389,../data/NistFormatted/s0390_09.png,s0390_09.png,W,M,4
2313,../data/NistFormatted/s0314_04.png,s0314_04.png,R,M,2
938,../data/NistFormatted/f0939_03.png,f0939_03.png,A,M,0
2398,../data/NistFormatted/s0399_02.png,s0399_02.png,R,M,2
3595,../data/NistFormatted/s1596_04.png,s1596_04.png,R,M,2
2641,../data/NistFormatted/s0642_02.png,s0642_02.png,A,M,0
3598,../data/NistFormatted/s1599_04.png,s1599_04.png,R,F,2
822,../data/NistFormatted/f0823_06.png,f0823_06.png,A,M,0
224,../data/NistFormatted/f0225_10.png,f0225_10.png,T,F,3
2491,../data/NistFormatted/s0492_02.png,s0492_02.png,A,M,0
3352,../data/NistFormatted/s1353_07.png,s1353_07.png,W,F,4
2077,../data/NistFormatted/s0078_03.png,s0078_03.png,R,M,2
3678,../data/NistFormatted/s1679_09.png,s1679_09.png,A,F,0
3547,../data/NistFormatted/s1548_06.png,s1548_06.png,W,M,4
2803,../data/NistFormatted/s0804_03.png,s0804_03.png,T,M,3
3285,../data/NistFormatted/s1286_04.png,s1286_04.png,A,M,0
3472,../data/NistFormatted/s1473_08.png,s1473_08.png,A,F,0
984,../data/NistFormatted/f0985_01.png,f0985_01.png,A,M,0
2537,../data/NistFormatted/s0538_07.png,s0538_07.png,A,M,0
923,../data/NistFormatted/f0924_09.png,f0924_09.png,L,M,1
911,../data/NistFormatted/f0912_02.png,f0912_02.png,T,M,3
3901,../data/NistFormatted/s1902_04.png,s1902_04.png,R,M,2
1418,../data/NistFormatted/f1419_05.png,f1419_05.png,R,M,2
3941,../data/NistFormatted/s1942_06.png,s1942_06.png,L,M,1
